id,provider,region,instance_type,probe_kind,meta_policy,max_minutes,policy_version,instance_id,outcome,start_time_utc,end_time_utc,duration_minutes,interrupted,interrupt_bin,survived_hours,spot_price_usd,price_delta_6h,sampling_propensity,pred_h1_at_launch,pred_risk_5h_at_launch,features_snapshot,created_at,source,topup_reason
6829,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0a825659a4334e4a7,Interrupted,2026-02-17 20:57:12.392225+00,2026-02-17 21:03:13.905618+00,6.03,true,1,0,0.0369,0.0094,1,0.267471182429279,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9791666666666666,""launch_local_hour"":20}",2026-02-17 21:03:14.015056+00,topup,
6842,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0d8cf436d16cda968,Interrupted,2026-02-17 20:58:32.565076+00,2026-02-17 21:56:46.659989+00,58.23,true,1,0,0.0425,0.0034,1,0.115946329775352,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":20}",2026-02-17 21:56:46.843365+00,topup,
6845,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-07aae66fab9c15ecc,Censored (Stopped by Design),2026-02-17 20:57:14.153035+00,2026-02-17 21:57:27.361231+00,60.22,false,,1,0.0369,0.0094,1,0.273835301597242,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9791666666666666,""launch_local_hour"":20}",2026-02-17 21:57:28.013717+00,topup,
6846,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-03ecd851cc8695813,Censored (Stopped by Design),2026-02-17 20:57:19.095636+00,2026-02-17 21:57:31.618141+00,60.21,false,,1,0.0369,0.0094,1,0.26998223628782,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9791666666666666,""launch_local_hour"":20}",2026-02-17 21:57:32.188673+00,topup,
6847,aws,us-west-2,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0ccf87767c4df1b7e,Censored (Stopped by Design),2026-02-17 20:57:24.115571+00,2026-02-17 21:57:39.895139+00,60.26,false,,1,0.0359,0.0072,1,0.0792562001379607,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.972972972972973,""launch_local_hour"":20}",2026-02-17 21:57:40.567169+00,topup,
6848,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-09e6d4a9aad67bb21,Censored (Stopped by Design),2026-02-17 20:58:34.719105+00,2026-02-17 21:58:47.561221+00,60.21,false,,1,0.0425,0.0034,1,0.122048646301043,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":20}",2026-02-17 21:58:48.357643+00,topup,
6849,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-052224ecf42a27f69,Censored (Stopped by Design),2026-02-17 20:58:36.670901+00,2026-02-17 21:58:52.741213+00,60.27,false,,1,0.0425,0.0034,1,0.12912505576476,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":20}",2026-02-17 21:58:53.309951+00,topup,
6850,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-04148febe30ea9868,Censored (Stopped by Design),2026-02-17 20:58:41.914038+00,2026-02-17 21:58:53.951214+00,60.2,false,,1,0.0425,0.0034,1,0.120535212883745,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":20}",2026-02-17 21:58:54.480605+00,topup,
6856,aws,us-west-2,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-02e26cbc17678c28a,Interrupted,2026-02-17 22:00:38.96366+00,2026-02-17 22:47:52.26322+00,47.22,true,1,0,0.0425,0.0034,1,0.133998921354533,,"{""launch_dow"":1,""launch_utc_hour"":22,""price_zscore_6h"":0.9444444444444444,""launch_local_hour"":22}",2026-02-17 22:47:52.521069+00,topup,
6876,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0c9c3fd966746958b,Censored (Stopped by Design),2026-02-17 22:00:18.633395+00,2026-02-17 23:00:31.01763+00,60.21,false,,1,0.0413,-0.000899999999999998,1,0.00693662359968928,,"{""launch_dow"":1,""launch_utc_hour"":22,""price_zscore_6h"":-0.8181818181818178,""launch_local_hour"":22}",2026-02-17 23:00:31.648692+00,topup,
6877,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-07f94a134fdd40172,Censored (Stopped by Design),2026-02-17 22:00:23.650376+00,2026-02-17 23:00:36.06121+00,60.21,false,,1,0.0413,-0.000899999999999998,1,0.00688050798686532,,"{""launch_dow"":1,""launch_utc_hour"":22,""price_zscore_6h"":-0.8181818181818178,""launch_local_hour"":22}",2026-02-17 23:00:36.746902+00,topup,
6878,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0ef34b316d4f6692c,Censored (Stopped by Design),2026-02-17 22:00:28.734509+00,2026-02-17 23:00:41.188609+00,60.21,false,,1,0.0413,-0.000899999999999998,1,0.00742244347137266,,"{""launch_dow"":1,""launch_utc_hour"":22,""price_zscore_6h"":-0.8181818181818178,""launch_local_hour"":22}",2026-02-17 23:00:41.747497+00,topup,
6879,aws,us-east-1,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-05586e68f32e090dc,Censored (Stopped by Design),2026-02-17 22:00:33.732137+00,2026-02-17 23:00:46.377433+00,60.21,false,,1,0.0413,-0.000899999999999998,1,0.00753375519527368,,"{""launch_dow"":1,""launch_utc_hour"":22,""price_zscore_6h"":-0.8181818181818178,""launch_local_hour"":22}",2026-02-17 23:00:47.042011+00,topup,
6904,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0fda7027a0dee1942,Censored (Stopped by Design),2026-02-17 23:02:34.505488+00,2026-02-18 00:02:47.071226+00,60.21,false,,1,0.0319,-0.005,1,0.253573290347623,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":-0.9615384615384617,""launch_local_hour"":23}",2026-02-18 00:02:47.66168+00,topup,
6905,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0a8ee846eae8424cb,Censored (Stopped by Design),2026-02-17 23:02:39.556547+00,2026-02-18 00:02:51.967146+00,60.21,false,,1,0.0319,-0.005,1,0.25184248163501,,"{""launch_dow"":1,""launch_utc_hour"":23,""price_zscore_6h"":-0.9615384615384617,""launch_local_hour"":23}",2026-02-18 00:02:52.538556+00,topup,
